LTI,Observation.related.to,Type.of.Activity,Observation.Category,Reason.for.Deviation,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Raw Materials,Employee,Others,Workplace Safety,Procedure Not Followed,Tue ,April,Material Handling,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 1,High,Medical case
Raw Materials,Employee,Others,Orderliness,Procedure Not Followed,Wed,April,Road Incident,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 1,High,Medical case
Engineering & Project,Employee,Operations,Falling,Procedure Not Followed,Thu,August,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Process,SNR,Topic 4,Medium,First Aid
Engineering & Project,Contractor,Maintenance,Electrical Safety,Procedure Not Followed,Fri,August,Lifting Tools Tackles,Single Working,M/C Idle,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 5,High,LTI
Engineering & Project,Contractor,Operations,Handrail,Procedure Not Followed,Sat,September,Hot Metals,Single Working,M/C Working,Unsafe Act,PPE,Process,SAF,Topic 7,Low,First Aid
Engineering & Project,Employee,Operations,Falling,Procedure Not Adequate,Mon,September,Process Incidents,Single Working,M/C Idle,Unsafe Condition,Process Safety,Behaviour,SNNR,Topic 9,Low,Medical case
Engineering & Project,Contractor,Others,Not Followed,Procedure Not Adequate,Fri,September,Process Incidents,Group Working,Not Applicable,Unsafe Act,Fire Safety,Process,SNR,Topic 3,High,LTI
Engineering & Project,Contractor,Maintenance,Others,Procedure Not Followed,Sun,October,Road Incident,Group Working,Not Applicable,Unsafe Act,Confine Space,Process,SAF,Topic 6,Low,First Aid
Engineering & Project,Contractor,Operations,Fire Safety,Procedure Not Followed,Thu,November,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 5,Low,First Aid
Engineering & Project,Contractor,Others,Electrical Safety,Procedure Not Adequate,Fri,November,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SANF,Topic 1,Low,First Aid
Shared Services,Contractor,Maintenance,Not Followed,Procedure Not Followed,Tue,November,Slip/Trip/Fall,Not Applicable,M/C Idle,Unsafe Act,Process Safety,Behaviour,SIF,Topic 9,Low,Medical case
Shared Services,Employee,Maintenance,Uneasiness,Procedure Not Followed,Fri,December,Material Handling,Group Working,Not Applicable,Unsafe Condition,Material Handling,Behaviour,SANF,Topic 9,Low,Medical case
Orissa Projects,Employee,Others,Health,Procedure Not Existing,Tue,December,Road Incident,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Orissa Projects,Employee,Others,Health,Procedure Not Existing,Tue,December,Road Incident,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 1,Medium,Medical case
Others,Employee,Others,Not Followed,Procedure Not Existing,Wed,May,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Raw Materials,Employee,Operations,Tools & Equipment,Procedure Not Existing,Wed,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Others,Behaviour,SANF,Topic 8,Low,Medical case
Raw Materials,Employee,Operations,Tools & Equipment,Procedure Not Existing,Wed,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Others,Behaviour,SANF,Topic 8,Low,Medical case
Raw Materials,Contractor,Others,PPE,Procedure Not Followed,Wed,June,Process Incidents,Single Working,M/C Idle,Unsafe Condition,Confine Space,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Contractor,Others,PPE,Procedure Not Followed,Wed,June,Skidding,Single Working,M/C Idle,Unsafe Condition,Material Handling,Behaviour,SANF,Topic 5,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Fri,June,Workplace Safety,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Electrical Safety,Process,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Fri,June,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Mines Safety,Process,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Others,Material Handling,Procedure Not Existing,Tue,June,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,PPE,Process,SNR,Topic 8,Low,First Aid
Raw Materials,Employee,Others,Material Handling,Procedure Not Followed,Tue,June,Road Incident,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Fire Safety,Process,SANF,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Construction,Not Maintained,Procedure Not Followed,Mon,June,Skidding,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNR,Topic 6,Low,First Aid
Raw Materials,Employee,Operations,Tools & Equipment,Procedure Not Followed,Thu,July,Skidding,Group Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SNR,Topic 1,Medium,First Aid
Raw Materials,Employee,Operations,Tools & Equipment,Procedure Not Adequate,Thu,July,Road Incident,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SNR,Topic 4,Medium,First Aid
Raw Materials,Contractor,Maintenance,Barricading,Procedure Not Followed,Fri,July,Process Incidents,Single Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SANF,Topic 7,Low,Medical case
Raw Materials,Contractor,Maintenance,Barricading,Procedure Not Followed,Fri,July,Road Incident,Single Working,Not Applicable,Unsafe Act,Excavation,Behaviour,SNR,Topic 7,Low,Medical case
