Division,Observation.related.to,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Raw Materials,Employee,Tue ,April,Material Handling,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 1,High,Medical case
Raw Materials,Employee,Wed,April,Road Incident,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 1,High,Medical case
Engineering & Project,Employee,Thu,August,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Process,SNR,Topic 4,Medium,First Aid
Engineering & Project,Contractor,Fri,August,Lifting Tools Tackles,Single Working,M/C Idle,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 5,High,LTI
Engineering & Project,Contractor,Sat,September,Hot Metals,Single Working,M/C Working,Unsafe Act,PPE,Process,SAF,Topic 7,Low,First Aid
Engineering & Project,Employee,Mon,September,Process Incidents,Single Working,M/C Idle,Unsafe Condition,Process Safety,Behaviour,SNNR,Topic 9,Low,Medical case
Engineering & Project,Contractor,Fri,September,Process Incidents,Group Working,Not Applicable,Unsafe Act,Fire Safety,Process,SNR,Topic 3,High,LTI
Engineering & Project,Contractor,Sun,October,Road Incident,Group Working,Not Applicable,Unsafe Act,Confine Space,Process,SAF,Topic 6,Low,First Aid
Engineering & Project,Contractor,Thu,November,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 5,Low,First Aid
Engineering & Project,Contractor,Fri,November,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SANF,Topic 1,Low,First Aid
Shared Services,Contractor,Tue,November,Slip/Trip/Fall,Not Applicable,M/C Idle,Unsafe Act,Process Safety,Behaviour,SIF,Topic 9,Low,Medical case
Shared Services,Employee,Fri,December,Material Handling,Group Working,Not Applicable,Unsafe Condition,Material Handling,Behaviour,SANF,Topic 9,Low,Medical case
Orissa Projects,Employee,Tue,December,Road Incident,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Orissa Projects,Employee,Tue,December,Road Incident,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 1,Medium,Medical case
Others,Employee,Wed,May,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Raw Materials,Employee,Wed,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Others,Behaviour,SANF,Topic 8,Low,Medical case
Raw Materials,Employee,Wed,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Others,Behaviour,SANF,Topic 8,Low,Medical case
Raw Materials,Contractor,Wed,June,Process Incidents,Single Working,M/C Idle,Unsafe Condition,Confine Space,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Contractor,Wed,June,Skidding,Single Working,M/C Idle,Unsafe Condition,Material Handling,Behaviour,SANF,Topic 5,Low,First Aid
Raw Materials,Employee,Fri,June,Working at Height,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Electrical Safety,Process,SANF,Topic 8,Low,First Aid
